Identifiant;Nom;Catégorie;Année;Adresse;Lieu;Lien;Géolocalisation
309;Prairie aux Ducs;Composteur ouvert au quartier;2021;rue Nadine Gordimer;Nantes;https://pom-e.compostri.fr/composteur/prairie-aux-ducs;47.20418399934461, -1.569149999518525
314;Les Tribunes;Composteur en résidence - copropriété;2021;49 Boulevard des Tribunes;Nantes;https://pom-e.compostri.fr/composteur/les-tribunes;47.24980899938355, -1.5696770001044589
333;Le Landreau;Composteur ouvert au quartier;2021;5 rue du Landreau;Orvault;https://pom-e.compostri.fr/composteur/le-landreau;47.272209998804115, -1.6302650005447903
335;Jardins du Jamet;Composteur ouvert au quartier;;19 rue du Jamet;Nantes;https://pom-e.compostri.fr/composteur/jardins-du-jamet;47.207318999456824, -1.6061040001214484
340;Herseville;Composteur en résidence - copropriété;2021;58 rue Mauvoisins;Nantes;https://pom-e.compostri.fr/composteur/herseville;47.189390721237864, -1.5306156140352825
341;La Filée;Composteur en résidence - copropriété;2021;222 route de Vertou;Nantes;https://pom-e.compostri.fr/composteur/la-filee;47.18289699945126, -1.5216930003066889
346;Zellige;Composteur en résidence - copropriété;2021;65-67-69 Bd de la Prairie aux Ducs;Nantes;https://pom-e.compostri.fr/composteur/zellige;47.20396599907817, -1.5651919993908678
348;Le Roxane;Composteur en résidence - copropriété;2021;27 rue Jean Émile Labeur;Nantes;https://pom-e.compostri.fr/composteur/le-roxane;47.22526199905075, -1.5521680003844134
361;Les Lavandes;Composteur ouvert au quartier;2022;17 rue des Lavandes;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/les-lavandes;47.2619159992915, -1.4851909997670127
371;My Home;Composteur en résidence - copropriété;2022;104 rue du Corps de Garde;Nantes;https://pom-e.compostri.fr/composteur/my-home;47.21693399883578, -1.5991370005275691
374;Petite Ferme Urbaine;Composteur ouvert au quartier;2023;16 rue de l'Orne;Saint-Herblain;https://pom-e.compostri.fr/composteur/petite-ferme-urbaine;47.21412599892664, -1.6122489993565563
379;La Galarne;Composteur ouvert au quartier;2022;2-8 Rue Pitre de Lisle du Dreneuc, 44200 Nantes;Nantes;https://pom-e.compostri.fr/composteur/la-galarne;47.208875998977156, -1.529936000455857
399;Les Nymphéas;Composteur en résidence - copropriété;2022;142 impasse des Nymphéas;Nantes;https://pom-e.compostri.fr/composteur/les-nympheas;47.25125699906996, -1.531918999720862
417;Les Ajoncs;Composteur en résidence - copropriété;;56 Rue des Chalâtres 44000 NANTES;Nantes;https://pom-e.compostri.fr/composteur/les-ajoncs;47.227700998885076, -1.5322110003003717
434;Borne Out;Composteur en résidence - copropriété;2023;26-27-28 boulevard le Corbusier;Rezé;https://pom-e.compostri.fr/composteur/borne-out;47.189078998648, -1.572051000156826
446;Square du lait de Mai 2;Composteur ouvert au quartier;2023;Pass. Berthault, 44000 Nantes;Nantes;https://pom-e.compostri.fr/composteur/square-du-lait-de-mai-2;47.212097999179605, -1.54812599971568
448;Place de village Square Amiral Halgan 2;Composteur ouvert au quartier;2023;Square Amiral Halgan. 2, 1 Pl. de l'Hôtel de ville CEDEX, 44094 Nantes;Nantes;https://pom-e.compostri.fr/composteur/place-de-village-square-amiral-halgan-2;47.21747099939453, -1.5542079998934726
450;Les Civelles;Composteur ouvert au quartier;2023;4 quai Besnard Basse Indre;Indre;https://pom-e.compostri.fr/composteur/les-civelles;47.198743999481195, -1.673613999813409
456;La Proue;Composteur en résidence - copropriété;;8 Bd François Blancho par coursive arrière Beaulieu en prenant rue du doc. Zamenhof;Nantes;https://pom-e.compostri.fr/composteur/la-proue;47.20486599891249, -1.533322000317555
457;ça pousse en amont 2;Composteur ouvert au quartier;2023;cours de la prairie d'Amont 1 allée Alain Gerbault;Nantes;https://pom-e.compostri.fr/composteur/ca-pousse-en-amont-2;47.20966999888532, -1.5254140001089695
458;Val de Sèvre;Composteur en résidence - copropriété;2023;Impasse du Val de Sèvre;Nantes;https://pom-e.compostri.fr/composteur/val-de-sevre;47.18818399883214, -1.534177000228287
25;Crèche Brin de Malice;Composteur Pédagogique en établissement scolaire;2011;Rue de la Ripossiere;Nantes;https://pom-e.compostri.fr/composteur/creche-brin-de-malice;47.193028999023326, -1.5313049996098402
29;Ecole Chauvinière;Composteur Pédagogique en établissement scolaire;2011;32 boulevard de la Chauvinière;Nantes;https://pom-e.compostri.fr/composteur/ecole-chauviniere;47.253091998893744, -1.5750980005636952
62;Pierre de Coubertin;Composteur en résidence - copropriété;2012;Résidence Pierre Coubertin, 33 boulevard Pierre de Coubertin;Nantes;https://pom-e.compostri.fr/composteur/pierre-de-coubertin;47.22621799902772, -1.5880870006511951
76;Ecole La Métairie;Composteur Pédagogique en établissement scolaire;2013;Rue de Trevellec;Couëron;https://pom-e.compostri.fr/composteur/ecole-la-metairie;47.21768079892902, -1.6978372998452032
