Identifiant;Nom;Catégorie;Année;Adresse;Lieu;Lien;Géolocalisation
437;Jardin des Noëlles;Composteur en résidence - copropriété;;rue du Congo;Saint-Herblain;https://pom-e.compostri.fr/composteur/jardin-des-noelles;47.240121999280476, -1.6082250002752487
453;La Confinerie;Composteur en résidence - copropriété;2023;13 rue Alsace Lorraine;Rezé;https://pom-e.compostri.fr/composteur/la-confinerie;47.193365999062046, -1.5445379995796351
454;Parc du Croissant 2;Composteur ouvert au quartier;;33 avenue Jean-Jacques Auneau;Nantes;https://pom-e.compostri.fr/composteur/parc-du-croissant-2;47.23549699941799, -1.5250019999440791
461;Front populaire;Composteur ouvert au quartier;;4 mail du front populaire;Nantes;https://pom-e.compostri.fr/composteur/front-populaire;47.20647199891172, -1.5635629998403708
465;Jean Baptiste Vigier;Composteur en résidence - copropriété;2023;51 rue Jean Baptiste Vigier;Rezé;https://pom-e.compostri.fr/composteur/jean-baptiste-vigier;47.18924799880609, -1.5415260002895863
466;Sourdille;Composteur ouvert au quartier;;4 Bd des Professeurs Sourdille, 44000 Nantes;Nantes;https://pom-e.compostri.fr/composteur/sourdille;47.23426099873111, -1.5474939995389285
2;Beaulieu;Composteur en résidence - copropriété;2009;allée de la cité;Nantes;https://pom-e.compostri.fr/composteur/beaulieu;47.207747999277714, -1.540578000648382
5;Russeil;Composteur en résidence - copropriété;2009;53-51 rue Russeil;Nantes;https://pom-e.compostri.fr/composteur/russeil;47.22292299904165, -1.5622320005430288
8;Ecole Ange Guépin;Composteur Pédagogique en établissement scolaire;2010;4 rue de la Révolution des Oeillets;Nantes;https://pom-e.compostri.fr/composteur/ecole-ange-guepin;47.217546599442095, -1.5192799999772357
27;Alphonse Braud;Composteur ouvert au quartier;2016;34 rue Gutenberg;Nantes;https://pom-e.compostri.fr/composteur/alphonse-braud;47.202295999024095, -1.5860490006146362
59;La Closerie de l'Arche;Composteur en résidence - copropriété;2012;Résidence La Closerie de l'Arche, bd Mérot du Barre.;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/la-closerie-de-larche;47.20829899867723, -1.5025849998060732
94;Cantine du 8 Mai;Composteur ouvert au quartier;2014;rue du 8 mai;Bouguenais;https://pom-e.compostri.fr/composteur/cantine-du-8-mai;47.17857209869815, -1.6200723004644917
95;Cité des hauts Pavés;Composteur ouvert au quartier;2014;rue d'Aunis;Nantes;https://pom-e.compostri.fr/composteur/cite-des-hauts-paves;47.22375899891673, -1.5659779998738816
100;Jardin de Gaia;Jardin;2014;6174 avenue Robert Schuman;Bouaye;https://pom-e.compostri.fr/composteur/jardin-de-gaia;47.15740599918996, -1.6756240004377183
110;Moulin des rives;Composteur ouvert au quartier;2014;impasse des Guiffettes;Saint-Aignan-Grandlieu;https://pom-e.compostri.fr/composteur/moulin-des-rives;47.12413399876497, -1.6302170002247025
123;Haubans;Composteur en résidence - copropriété;2015;4 jue Jean Gorin;Nantes;https://pom-e.compostri.fr/composteur/haubans;47.20934899905457, -1.5289677997595712
163;3 Moulins;Composteur ouvert au quartier;2017;30 rue Augustin Mouillé;Rezé;https://pom-e.compostri.fr/composteur/3-moulins;47.17877549927531, -1.5484911997174027
166;Ecole Gaston Serpette;Composteur Pédagogique en établissement scolaire;2017;23 rue Edmond Bire;Nantes;https://pom-e.compostri.fr/composteur/ecole-gaston-serpette;47.227712798945156, -1.5774023001543398
192;Renaudière;Composteur en résidence - copropriété;2018;3 allée de la Renaudière;Nantes;https://pom-e.compostri.fr/composteur/renaudiere;47.24929799921854, -1.530213000563457
196;Les Renards;Composteur ouvert au quartier;2018;Coulée des Renards > avenue  d’Orsay;Nantes;https://pom-e.compostri.fr/composteur/les-renards;47.25659499864049, -1.5629060004769662
218;Place du Village Comm'un Jardin;Composteur ouvert au quartier;2018;Angle rue des collines et mail Haroun Tazieff;Nantes;https://pom-e.compostri.fr/composteur/place-du-village-commun-jardin;47.2435109987359, -1.5171009998659468
226;Centre Nautique;Composteur en résidence - copropriété;2019;route de la Jonelière;Nantes;https://pom-e.compostri.fr/composteur/centre-nautique;47.25866299921588, -1.539214999905334
233;Le Comptoir des Alouettes;Composteur ouvert au quartier;2019;19 rue des Alouettes;Nantes;https://pom-e.compostri.fr/composteur/le-comptoir-des-alouettes;47.201260999355526, -1.6026130005504082
241;FJT Port Beaulieu / Jardilien 2;Composteur ouvert au quartier;2019;Angle rue des Frères Mano et rue Louis Joxe;Nantes;https://pom-e.compostri.fr/composteur/fjt-port-beaulieu-jardilien-2;47.206183999089966, -1.5424260002566204
245;Composteur Procé;Composteur ouvert au quartier;2019;16 rue Chéneau;Nantes;https://pom-e.compostri.fr/composteur/composteur-proce;47.21915099937213, -1.5858410006538797
249;Croix des Landes;Composteur ouvert au quartier;2019;Place de la Croix des Landes;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/croix-des-landes;47.19404099889753, -1.476349999892381
250;Chez Val;Composteur en résidence - copropriété;2019;21 Boulevard du Val de Chézine;Saint-Herblain;https://pom-e.compostri.fr/composteur/chez-val;47.23342099912377, -1.5974550000396053
255;Jardins de la Beaujoire;Composteur en résidence - copropriété;2019;20 avenue Josselin;Nantes;https://pom-e.compostri.fr/composteur/jardins-de-la-beaujoire;47.25990399865451, -1.5137870003570295
264;Fresch’eur;Composteur ouvert au quartier;;Rond-Point de la Noe;Nantes;https://pom-e.compostri.fr/composteur/frescheur;47.24826899942493, -1.5520730002390806
275;La Victoire;Composteur en résidence - copropriété;;3, rue de la Victoire;Nantes;https://pom-e.compostri.fr/composteur/la-victoire;47.236768999283264, -1.5675610004687308
281;Solilab / Écossolies;Composteur ouvert au quartier;2020;8 rue saint Domingue, 44200, Nantes;Nantes;https://pom-e.compostri.fr/composteur/solilab-ecossolies;47.201342998791986, -1.5699129995784114
286;Françoise Giroud;Composteur ouvert au quartier;2020;2 rue Berthe Albrecht;Saint-Herblain;https://pom-e.compostri.fr/composteur/francoise-giroud;47.217096999055414, -1.6409889998924008
299;La Bouchautterie;Composteur en résidence - copropriété;2021;69 rue Bouchaud;Nantes;https://pom-e.compostri.fr/composteur/la-bouchautterie;47.21890399870615, -1.5786299996903654
300;Ecole Les Reigners;Composteur Pédagogique en établissement scolaire;2020;Ecole Vertou;Vertou;https://pom-e.compostri.fr/composteur/ecole-les-reigners;47.137018998769065, -1.4630189997049245
301;Papotager;Jardin;2021;Square Gabriel Chéreau;Nantes;https://pom-e.compostri.fr/composteur/papotager;47.21114699903034, -1.5628959994180898
303;Jardin Erdre et Parc;Jardin;2021;5 bis rue de Port la Blanche;Nantes;https://pom-e.compostri.fr/composteur/jardin-erdre-et-parc;47.26956699864359, -1.5127450004683496
338;Verdun;Composteur en résidence - copropriété;2021;Rue des trois rois;Nantes;https://pom-e.compostri.fr/composteur/verdun;47.22894499860581, -1.5277030005724166
339;Les Mouchots;Composteur en résidence - copropriété;2021;1 rue René Mouchotte;Nantes;https://pom-e.compostri.fr/composteur/les-mouchots;47.20011099878368, -1.5483229997454169
353;Vieux Pin Sec 2 (le colibri);Composteur ouvert au quartier;2021;3 rue de Valenciennes;Nantes;https://pom-e.compostri.fr/composteur/vieux-pin-sec-2-le-colibri;47.24307977900797, -1.5215012530952874
355;Le Cèdre;Composteur en résidence - copropriété;2022;49 rue Félix Lemoine;Nantes;https://pom-e.compostri.fr/composteur/le-cedre;47.23791599937902, -1.5452760000513586
360;Gendarmerie Sainte Luce;Composteur en résidence - copropriété;2022;20 route de Thouaré;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/gendarmerie-sainte-luce-1;47.25580399889682, -1.4695640003837958
368;Crucy fouré;Composteur en résidence - copropriété;2022;résidence NMH par passage joseph paris ou 6 rue émile Masson;Nantes;https://pom-e.compostri.fr/composteur/crucy-foure;47.213904999211415, -1.5475299999032905
383;Le Bignon;Composteur ouvert au quartier;2022;25 rue Alfred Nobel;Orvault;https://pom-e.compostri.fr/composteur/le-bignon;47.24812099947546, -1.5945620004842453
397;Le jardin d'Edgar;Jardin;2022;54 rue Edgar Quinet;Nantes;https://pom-e.compostri.fr/composteur/le-jardin-dedgar;47.215434999096956, -1.5844919993821882
447;Jardin de la solidarité;Composteur ouvert au quartier;2023;;La Chapelle-sur-Erdre;https://pom-e.compostri.fr/composteur/jardin-de-la-solidarite;47.298648999258035, -1.5498879997855937
462;60 B 2;Composteur ouvert au quartier;;60 rue Bottière;Nantes;https://pom-e.compostri.fr/composteur/60-b-2;47.23925199895882, -1.519855000055003
467;Bois du Cens;Composteur en résidence - copropriété;2023;Allée des iles Loyauté;Nantes;https://pom-e.compostri.fr/composteur/bois-du-cens;47.243554998955844, -1.5723790004452476
10;Ecole Dervallières-Chézine;Composteur Pédagogique en établissement scolaire;2010;1 rue Auguste Lepère;Nantes;https://pom-e.compostri.fr/composteur/ecole-dervallieres-chezine;47.227072599057585, -1.5976217993868733
50;Ecole Fonteny;Composteur Pédagogique en établissement scolaire;2012;33 rue de Fonteny;Nantes;https://pom-e.compostri.fr/composteur/ecole-fonteny;47.205040998812024, -1.5926450003298007
90;Toscani - Sainte-Thérése;Composteur en résidence - copropriété;2013;61 boulevard Jean XXIII;Nantes;https://pom-e.compostri.fr/composteur/toscani-sainte-therese;47.232167398947404, -1.5763191005647377
120;École Réformes;Composteur Pédagogique en établissement scolaire;2015;12 rue des reformes;Nantes;https://pom-e.compostri.fr/composteur/ecole-reformes;47.19946799892846, -1.5911159997627005
137;Blordière;Composteur en résidence - copropriété;2015;3 allée Brunelière;Rezé;https://pom-e.compostri.fr/composteur/blordiere;47.18029899922603, -1.533312000535537
140;Cruère;Composteur en résidence - copropriété;2016;15 boulevard Jean Moulin;Nantes;https://pom-e.compostri.fr/composteur/cruere;47.20208199893579, -1.6049510006452874
145;Ecole Lucie Aubrac;Composteur Pédagogique en établissement scolaire;2016;"47 boulevard Jean Moulin
44100 Nantes";Nantes;https://pom-e.compostri.fr/composteur/ecole-lucie-aubrac;47.20835199910043, -1.6004409994157955
156;Ingénieurs – Jonelière;Composteur ouvert au quartier;2016;1 rue des Ingénieurs;Nantes;https://pom-e.compostri.fr/composteur/ingenieurs-joneliere;47.252163999295185, -1.5453099994923676
159;Le Petit Bel Air;Composteur en résidence - copropriété;2017;17 rue du Petit Bel Air;Nantes;https://pom-e.compostri.fr/composteur/le-petit-bel-air;47.23931079934217, -1.526711300446549
169;Galilée;Composteur en résidence - copropriété;2017;41-43 rue de Galilée;Nantes;https://pom-e.compostri.fr/composteur/galilee;47.205920998933934, -1.5862689003612451
174;Les Courtils;Composteur en résidence - copropriété;2017;4 rue des Courtils;Nantes;https://pom-e.compostri.fr/composteur/les-courtils;47.20018299895274, -1.5935300005674145
188;Smyrne;Composteur ouvert au quartier;2018;rue de Smyrne;Nantes;https://pom-e.compostri.fr/composteur/smyrne;47.24041399927447, -1.5825979998854027
189;Potager 16 Watts;Jardin;2018;5 rue de l’Echappée;Nantes;https://pom-e.compostri.fr/composteur/potager-16-watts;47.20357999863623, -1.5480309994033083
191;Le Ronsard;Composteur en résidence - copropriété;2018;39 rue du Calvaire de Grillaud;Nantes;https://pom-e.compostri.fr/composteur/le-ronsard;47.22019699937249, -1.5809350003621458
193;Erdréa;Composteur en résidence - copropriété;2018;38 rue de la Planche au Gué;Nantes;https://pom-e.compostri.fr/composteur/erdrea;47.272054999379314, -1.519823000400877
205;Le Marigny;Composteur en résidence - copropriété;2018;4 rue François Evellin;Nantes;https://pom-e.compostri.fr/composteur/le-marigny;47.21922899888059, -1.5383290002518062
214;Ba'Bonheur;Composteur ouvert au quartier;2018;17, rue Babonneau;Nantes;https://pom-e.compostri.fr/composteur/babonheur;47.20740899910762, -1.5774870000518024
225;Square Gaston Turpin;Composteur ouvert au quartier;2019;Square Gaston Turpin;Nantes;https://pom-e.compostri.fr/composteur/square-gaston-turpin;47.22435199919734, -1.5416890002284047
246;Chapidock;Composteur ouvert au quartier;2019;62 Quai du Président Wilson;Nantes;https://pom-e.compostri.fr/composteur/chapidock;47.20028399885042, -1.5712919996509618
258;Les Roches Blanches;Composteur en résidence - copropriété;2019;1 rue des soupirs;Nantes;https://pom-e.compostri.fr/composteur/les-roches-blanches;47.237876998947165, -1.547695000239901
261;Place du Village Trépied;Composteur ouvert au quartier;2020;Allée du Dr Meeus;Nantes;https://pom-e.compostri.fr/composteur/place-du-village-trepied;47.21974099895691, -1.561133999339573
276;Mitrie Chalâtres;Composteur en résidence - copropriété;2020;9 rue de la mitrie;Nantes;https://pom-e.compostri.fr/composteur/mitrie-chalatres;47.2268159990933, -1.5320729998489735
287;Le Ménétrier;Composteur en résidence - copropriété;2020;4-17 avenue Félix Ménétrier;Nantes;https://pom-e.compostri.fr/composteur/le-menetrier;47.242525999453015, -1.5267159995760444
290;Les Rochellets;Composteur en résidence - copropriété;2020;Square des Rochellets;Nantes;https://pom-e.compostri.fr/composteur/les-rochellets;47.20959099932925, -1.6091719998182772
291;Promenade des Nefs;Composteur en résidence - copropriété;2021;1 Promenade des Nefs;Nantes;https://pom-e.compostri.fr/composteur/promenade-des-nefs;47.20785899903191, -1.591946999628548
298;Plaisance;Composteur en résidence - copropriété;2021;Square allée de la Rance;Orvault;https://pom-e.compostri.fr/composteur/plaisance;47.24105199860916, -1.5896430005015227
316;Saint Clair;Composteur en résidence - copropriété;2021;14 avenue du cimetière Saint Clair;Nantes;https://pom-e.compostri.fr/composteur/saint-clair;47.21462099906447, -1.5929469999947687
324;Chemin Poisson 2;Composteur ouvert au quartier;2021;Chemin Poisson;Nantes;https://pom-e.compostri.fr/composteur/chemin-poisson-2;47.19884899935243, -1.591190000234232
326;Coulmiers 2;Composteur en résidence - copropriété;2021;54 rue Coulmiers;Nantes;https://pom-e.compostri.fr/composteur/coulmiers-2;47.22310599947929, -1.5373039995081703
328;Neo Verde;Composteur en résidence - copropriété;2021;9 rue Louis Joxe;Nantes;https://pom-e.compostri.fr/composteur/neo-verde;47.20518736641647, -1.5465095619925775
330;Georges Bizot;Composteur en résidence - copropriété;2021;8 rue Georges Bizot;Nantes;https://pom-e.compostri.fr/composteur/georges-bizot;47.23406599944116, -1.5674799998479751
342;Lamour Les Forges 2;Composteur ouvert au quartier;2021;11 rue Henri Lamour;Rezé;https://pom-e.compostri.fr/composteur/lamour-les-forges-2;47.1891679987315, -1.5484270002698755
350;La Sèvre;Composteur en résidence - copropriété;2021;66 rue Jean-Baptiste Vigier;Rezé;https://pom-e.compostri.fr/composteur/la-sevre;47.188412998793254, -1.54180600025695
357;City Stade Monteil;Composteur ouvert au quartier;2022;rue Emile Pehant / rue Monteil;Nantes;https://pom-e.compostri.fr/composteur/city-stade-monteil;47.21323999893754, -1.5484520001682258
363;Caserne Mellinet;Composteur ouvert au quartier;2022;31 Rue Gabrielle le Pan de Ligny, 44000 Nantes;Nantes;https://pom-e.compostri.fr/composteur/caserne-mellinet;47.228685998962135, -1.538925999884465
373;Louis D'Auvergne;Composteur en résidence - copropriété;2022;18 Rue Louis Blanc NANTES;Nantes;https://pom-e.compostri.fr/composteur/louis-dauvergne;47.206303999268314, -1.5552889998703538
380;Résidence Joffre;Composteur en résidence - copropriété;2022;12-14 rue Joffre;Nantes;https://pom-e.compostri.fr/composteur/residence-joffre;47.22282799911571, -1.5468279995871557
400;ile Sainte Anne;Composteur ouvert au quartier;2023;28 boulevard Babin Chevaye;Nantes;https://pom-e.compostri.fr/composteur/ile-sainte-anne;47.20613299950708, -1.5519229996191954
402;Maison Radieuse 2;Composteur en résidence - copropriété;2022;Maison radieuse, blvd Le Corbusier;Rezé;https://pom-e.compostri.fr/composteur/maison-radieuse-2;47.188949999000684, -1.569277000383249
411;Louis Renault;Composteur en résidence - copropriété;2022;18 rue Louis Renault;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/louis-renault;47.2585979987351, -1.478744999328618
413;Charles Lebourg 2;Composteur ouvert au quartier;2022;1 rue Charles Lebourg;Nantes;https://pom-e.compostri.fr/composteur/charles-lebourg-2;47.2337439986412, -1.5607160005934504
451;Mozaïk des Garettes;Composteur en résidence - copropriété;2023;rue de la Métairie;Orvault;https://pom-e.compostri.fr/composteur/mozaik-des-garettes;47.27460199941645, -1.6315570001903887
455;Les Sitelles;Composteur en résidence - copropriété;2023;38 Bd de Chézine;Saint-Herblain;https://pom-e.compostri.fr/composteur/les-sitelles;47.23440199912544, -1.5988899999058563
463;CSC Soleil Levant 2;Composteur ouvert au quartier;;44 rue de la Blanche;Saint-Herblain;https://pom-e.compostri.fr/composteur/csc-soleil-levant-2;47.219728999257676, -1.6093239999506408
464;Le Brabant;Composteur en résidence - copropriété;2023;99 Bd des Belges;Nantes;https://pom-e.compostri.fr/composteur/le-brabant;47.23431199941083, -1.542388000233322
468;L'Echalier;Composteur en résidence - copropriété;2023;7 rue Soubzmain;Nantes;https://pom-e.compostri.fr/composteur/lechalier;47.23239499897723, -1.5586269997949134
37;Jardin Famibio;Composteur ouvert au quartier;2011;19, rue du Moulin des Chalonges;Thouaré-sur-Loire;https://pom-e.compostri.fr/composteur/jardin-famibio;47.27461839932001, -1.429468900657704
57;FJT Grand Voile;Composteur ouvert au quartier;2012;2 rue marion cahour;Rezé;https://pom-e.compostri.fr/composteur/fjt-grand-voile;47.189655198794505, -1.5641083004444476
66;Cholière;Composteur ouvert au quartier;2013;rue Alphonse Beillevaire;Orvault;https://pom-e.compostri.fr/composteur/choliere;47.24969899863552, -1.6054680000338886
97;Cuisine Ecole Ferrière;Composteur Pédagogique en établissement scolaire;2014;Avenue de la Ferrière;Orvault;https://pom-e.compostri.fr/composteur/cuisine-ecole-ferriere;47.24497099923392, -1.591808000233243
99;Ecole de la Bernardière;Composteur Pédagogique en établissement scolaire;2014;4 Rue de Marseille;Saint-Herblain;https://pom-e.compostri.fr/composteur/ecole-de-la-bernardiere;47.20631799874052, -1.6169539993827993
108;Les Côteaux;Composteur en résidence - copropriété;2014;rue de Marseille et rue de Camargue;Saint-Herblain;https://pom-e.compostri.fr/composteur/les-coteaux;47.20509199894213, -1.6162129995834258
119;École Jean Zay;Composteur Pédagogique en établissement scolaire;2015;19 rue Yves Kartel;Nantes;https://pom-e.compostri.fr/composteur/ecole-jean-zay;47.2088469989868, -1.607362999487907
133;École Pont Marchand;Composteur Pédagogique en établissement scolaire;2015;26 rue Pont Marchand;Orvault;https://pom-e.compostri.fr/composteur/ecole-pont-marchand;47.26367699868557, -1.6319339999876938
135;Koufra;Composteur en résidence - copropriété;2015;12 rue Koufra;Nantes;https://pom-e.compostri.fr/composteur/koufra;47.2436909989962, -1.528226000258373
138;Maison de Coluche;Composteur ouvert au quartier;2015;37 rue de la Pâture;Nantes;https://pom-e.compostri.fr/composteur/maison-de-coluche;47.23087299896295, -1.5040480000129872
142;Square Flaubert;Composteur ouvert au quartier;2016;rue Gustave Flaubert;Rezé;https://pom-e.compostri.fr/composteur/square-flaubert;47.184244998810215, -1.5572089997777803
143;FJT Embarcadère;Composteur en résidence - copropriété;2016;1 rue de gigant 44 100 Nantes;Nantes;https://pom-e.compostri.fr/composteur/fjt-embarcadere;47.21423699882502, -1.5685319993695253
162;Amazonia Garden;Jardin;2017;rue de tchecoslovaquie;Nantes;https://pom-e.compostri.fr/composteur/amazonia-garden;47.21443819912579, -1.5329548004046438
187;Recyclindre;Composteur ouvert au quartier;2018;Allée de l’Indre / 26 rue Marcel Paul;Nantes;https://pom-e.compostri.fr/composteur/recyclindre;47.214292999267194, -1.5377649994315654
201;FJT Chanteclerc;Composteur ouvert au quartier;2018;42 rue Chanteclerc;Nantes;https://pom-e.compostri.fr/composteur/fjt-chanteclerc;47.23562999942476, -1.5787769995095742
210;Acacias;Composteur en résidence - copropriété;2018;Avenue de Tahiti;Nantes;https://pom-e.compostri.fr/composteur/acacias;47.243730999469285, -1.5737789994927192
212;Cité Le Bossis;Composteur ouvert au quartier;2018;Place Marin Poirier;Couëron;https://pom-e.compostri.fr/composteur/cite-le-bossis;47.21175599862307, -1.7133790000098472
216;Domaine d'Esté;Composteur en résidence - copropriété;2018;2 rue Vivianne Forrester;Nantes;https://pom-e.compostri.fr/composteur/domaine-deste;47.254798999117284, -1.5054750002383865
223;Square Lebée;Composteur ouvert au quartier;2018;14 rue Marceau;Nantes;https://pom-e.compostri.fr/composteur/square-lebee;47.216200999033106, -1.563468999685712
228;Coche d'eau;Composteur en résidence - copropriété;2019;4 avenue du Coche d’eau;Nantes;https://pom-e.compostri.fr/composteur/coche-deau;47.2245659988372, -1.5560609996599999
239;Jardin des Petits Débrouillards 2;Composteur ouvert au quartier;2019;19 rue Jean-Marc Nattier;Nantes;https://pom-e.compostri.fr/composteur/jardin-des-petits-debrouillards-2;47.224724999410384, -1.5914209993984043
240;Haute Feuille;Composteur en résidence - copropriété;2019;12 rue des 7 Maires Charette;Nantes;https://pom-e.compostri.fr/composteur/haute-feuille;47.21943399876293, -1.580470000350891
253;Place du Village Le Fort de Saint Jo;Composteur ouvert au quartier;2020;15 Lieux rue du Fort;Nantes;https://pom-e.compostri.fr/composteur/place-du-village-le-fort-de-saint-jo;47.264831999054614, -1.528825999771782
257;GB357;Composteur en résidence - copropriété;2019;3 Rue de la Grande biesse;Nantes;https://pom-e.compostri.fr/composteur/gb357;47.20630199881356, -1.5488819994513068
259;Multi Accueil Jules Verne;Composteur ouvert au quartier;2019;rue des Réformes;Nantes;https://pom-e.compostri.fr/composteur/multi-accueil-jules-verne;47.19904699863477, -1.5913040003842227
279;Les Pas Enchantés;Composteur en résidence - copropriété;2020;11 Rue du Dr Paul Michaux;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/les-pas-enchantes;47.20853199940964, -1.5121449993933038
284;La Cocotte Solidaire;Composteur ouvert au quartier;2020;Ile de Versailles par rue de Chateaulin;Nantes;https://pom-e.compostri.fr/composteur/la-cocotte-solidaire;47.226628998845825, -1.5542110003415015
292;Rollin;Composteur en résidence - copropriété;2020;11 rue Rollin;Nantes;https://pom-e.compostri.fr/composteur/rollin;47.20995199865664, -1.5760150002753428
297;Boissière;Jardin;;rue André Chenier;Nantes;https://pom-e.compostri.fr/composteur/boissiere;47.25400699926277, -1.5680310001554836
307;Bois Coquelin;Composteur ouvert au quartier;2021;20 Chemin du Bois Coquelin;Rezé;https://pom-e.compostri.fr/composteur/bois-coquelin;47.19071699936743, -1.5521279994429942
310;ESAT les Iris;Composteur en résidence - copropriété;2021;7 avenue de l'Europe;Thouaré-sur-Loire;https://pom-e.compostri.fr/composteur/esat-les-iris;47.28294399881274, -1.4479920004949605
329;École Félix Tessier;Composteur Pédagogique en établissement scolaire;2020;40 rue Olympe de Gouges;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/ecole-felix-tessier;47.255456543458514, -1.4631578477956144
351;Ecole Plancher;Composteur Pédagogique en établissement scolaire;2022;3 rue Georges Grille;Rezé;https://pom-e.compostri.fr/composteur/ecole-plancher;47.19045999879058, -1.5710209996232898
367;Crémetterie;Composteur ouvert au quartier;2022;15 rue de l'Ecole;Saint-Herblain;https://pom-e.compostri.fr/composteur/cremetterie;47.215637999060746, -1.6082300005091856
369;ADOMA;Composteur en résidence - copropriété;2022;2 allée des sapins, Carquefou;Carquefou;https://pom-e.compostri.fr/composteur/adoma;47.28317499950744, -1.4535399995220326
385;Jardin Gustave Roch;Jardin;;rue de l'Odet;Nantes;https://pom-e.compostri.fr/composteur/jardin-gustave-roch;47.202443999055944, -1.551486000067673
387;Monfoulon 2;Composteur en résidence - copropriété;2022;16 Rue Monfoulon, 44000 Nantes;Nantes;https://pom-e.compostri.fr/composteur/monfoulon-2;47.224532999130574, -1.5486010000595796
395;Malnoue;Composteur en résidence - copropriété;2022;61 bis rue de la Malnoue;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/malnoue;47.205294999006384, -1.4979360004227396
404;Place de Village Square FélixThomas;Composteur ouvert au quartier;2022;Square Félix Thomas;Nantes;https://pom-e.compostri.fr/composteur/place-de-village-square-felixthomas;47.23132399927991, -1.5527980006028428
405;Parc de la Minais;Composteur ouvert au quartier;2022;Parc de la Minais;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/parc-de-la-minais;47.255997999453704, -1.4664619997900308
406;Les Haubans 2;;;Rue Alain Colas;Nantes;https://pom-e.compostri.fr/composteur/les-haubans-2;47.209652998764874, -1.5288340000013987
408;Logifac - Résidence la Rivière;Composteur en résidence - copropriété;2023;175 rue Louis de Broglie;Nantes;https://pom-e.compostri.fr/composteur/logifac-residence-la-riviere;47.26138399894631, -1.5589439995436396
412;Jean Lefeuvre;Composteur en résidence - copropriété;;13 rue Jean Lefeuvre;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/jean-lefeuvre;47.257530999231925, -1.4776060006094167
422;Marion Cahour 2;Composteur ouvert au quartier;2021;18 rue de Savenay;Nantes;https://pom-e.compostri.fr/composteur/marion-cahour-2;47.222837998842486, -1.561192000019838
427;Kiriol;Composteur ouvert au quartier;2023;Venelle du Kiriol 44200;Nantes;https://pom-e.compostri.fr/composteur/kiriol;47.18530799885008, -1.5275569993541194
428;Maladry;Composteur en résidence - copropriété;2023;13-17 rue de la Boulogne;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/maladry;47.207082999107335, -1.5124190004573173
436;Le Bourg 2;Composteur en résidence - copropriété;2023;8 rue du général Zimmer;Saint-Herblain;https://pom-e.compostri.fr/composteur/le-bourg-2;47.20881629943041, -1.6487125002878804
443;Limousin 2;Composteur en résidence - copropriété;2023;28 rue du Limousin;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/limousin-2;47.201169998836235, -1.4900129996441485
449;La Mulotière;Composteur en résidence - copropriété;2023;16 rue Georges Meynieu;Nantes;https://pom-e.compostri.fr/composteur/la-mulotiere;47.24166399890547, -1.5676650005463049
459;Forges on t'aime 2;Composteur ouvert au quartier;;68 rue des forges;Nantes;https://pom-e.compostri.fr/composteur/forges-on-taime-2;47.2270539988969, -1.5183009998332326
4;Jardin du Tillay;Jardin;2009;Jardin partagé du Tillay;Saint-Herblain;https://pom-e.compostri.fr/composteur/jardin-du-tillay;47.23168099892009, -1.605733000478809
13;Ecole Grand Carcouet;Composteur Pédagogique en établissement scolaire;2016;1 Rue Louis Brisset;Nantes;https://pom-e.compostri.fr/composteur/ecole-grand-carcouet;47.22780199874793, -1.5929020000637133
18;Jardins Familiaux de Haute Indre;Composteur ouvert au quartier;2010;Place Jean Saillant, Haute Indre;Indre;https://pom-e.compostri.fr/composteur/jardins-familiaux-de-haute-indre;47.19279299863861, -1.647846999897073
34;FJT Oceane;Composteur ouvert au quartier;2011;1 rue Vasco de Gama;Saint-Herblain;https://pom-e.compostri.fr/composteur/fjt-oceane;47.2209260990948, -1.6234197995850819
45;Bois Saint Louis;Composteur en résidence - copropriété;2012;rue de la patouillerie;Orvault;https://pom-e.compostri.fr/composteur/bois-saint-louis;47.24629559947483, -1.5791442002951932
46;La Gournerie ALSH;Composteur en résidence - copropriété;2016;Domaine de la Gournerie, allée de la ferme;Saint-Herblain;https://pom-e.compostri.fr/composteur/la-gournerie-alsh;47.25216899880612, -1.633477999792773
64;Val Joli;Composteur en résidence - copropriété;2012;Résidence Val Joli, 11 rue de la Gréneraie;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/val-joli;47.19787819941052, -1.5302228993690181
77;Ecole Batignolles;Composteur Pédagogique en établissement scolaire;2013;45 route de Paris;Nantes;https://pom-e.compostri.fr/composteur/ecole-batignolles;47.2521919989843, -1.518616999661619
85;Les Roses;Composteur en résidence - copropriété;2013;Résidence les Roses, rue de la Chézine;Nantes;https://pom-e.compostri.fr/composteur/les-roses;47.21841469914238, -1.5760128998364231
